decision_cliente,accion_requerida,codigo_normalizado,ejemplo_codigo_original,filas,pagos,cantidad_total,total_estimado,primera_fecha_doc,ultima_fecha_doc,muestras_pago_id,producto_destino_aprobado,comentario_cliente
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,MATERIALES,materiales,846,838,178121.5,7702201854.5,2019-01-31 00:00:00,2022-12-01 00:00:00,2271 | 2272 | 2284 | 2285 | 2290 | 2291 | 2292 | 2293 | 2316 | 2317,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,TRANSPORTE01,transporte01,339,338,123401,7706984425,2021-01-04 00:00:00,2022-09-27 00:00:00,5217 | 5220 | 5221 | 5222 | 5225 | 5226 | 5227 | 5228 | 5229 | 5583,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ADMIN10001,admin10001,127,124,151,8412599,2019-02-08 00:00:00,2022-06-20 00:00:00,2000 | 2028 | 2029 | 2030 | 2032 | 2179 | 2189 | 5822 | 5823 | 5824,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612100,612100,100,100,207,16749094,2017-02-01 00:00:00,2022-04-27 00:00:00,1298 | 1299 | 1323 | 1360 | 1372 | 1425 | 1481 | 1508 | 1521 | 1524,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612095,612095,71,69,201,6606578,2017-02-08 00:00:00,2022-04-01 00:00:00,105 | 1466 | 1481 | 1521 | 1524 | 1586 | 1661 | 1694 | 1720 | 1770,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612090,612090,56,56,292,4972590,2017-01-18 00:00:00,2022-03-21 00:00:00,1352 | 1360 | 1372 | 1466 | 1508 | 1524 | 1561 | 1578 | 1586 | 1629,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612088,612088,49,49,299,3214940,2017-02-03 00:00:00,2022-03-21 00:00:00,1352 | 1612 | 1621 | 1629 | 1756 | 1997 | 2081 | 2111 | 2113 | 2114,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,COMBUSTIBLE,combustible,44,44,44,1571658,2022-02-07 00:00:00,2024-11-12 00:00:00,11038 | 11039 | 11040 | 11041 | 11042 | 11043 | 11044 | 6362 | 6372 | 6373,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612096,612096,34,34,51,2058837,2017-02-08 00:00:00,2022-03-21 00:00:00,1352 | 1360 | 1379 | 1401 | 1508 | 1578 | 2008 | 2055 | 2234 | 2266,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612089,612089,25,25,91,1284785,2018-05-24 00:00:00,2022-03-21 00:00:00,1735 | 2258 | 2436 | 2473 | 2482 | 2566 | 2600 | 2601 | 2635 | 2751,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,K3493,k3493,25,23,4029,11701608,2019-02-26 00:00:00,2026-04-14 00:00:00,10365 | 10785 | 14990 | 15145 | 15403 | 15608 | 16299 | 2047 | 2313 | 2396,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612101,612101,23,23,38,3596400,2017-02-08 00:00:00,2020-08-19 00:00:00,105 | 1323 | 1401 | 1425 | 1524 | 1621 | 1773 | 1924 | 1932 | 2111,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,PIN1240,pin1240,22,22,322,679010,2024-01-18 00:00:00,2025-05-07 00:00:00,10989 | 10990 | 10995 | 10996 | 11254 | 11260 | 11718 | 12041 | 12478 | 12631,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612079,612079,21,21,54,3372624,2018-02-09 00:00:00,2022-04-27 00:00:00,1298 | 1299 | 1481 | 1543 | 1621 | 1661 | 2191 | 2192 | 2380 | 2635,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,3100000002263,3100000002263,20,20,60,3678820,2022-06-09 00:00:00,2026-03-24 00:00:00,11259 | 12218 | 12822 | 13075 | 13383 | 13674 | 14088 | 14745 | 15094 | 15418,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,K3981,k3981,20,20,10230,26655637,2018-02-23 00:00:00,2026-01-19 00:00:00,10366 | 1365 | 14887 | 15352 | 15982 | 16134 | 2047 | 2116 | 2464 | 2539,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612071,612071,18,18,44,712440,2018-02-28 00:00:00,2020-06-03 00:00:00,1372 | 1758 | 2045 | 2081 | 2112 | 2156 | 2193 | 2303 | 2380 | 2402,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002269,31002269,17,16,795,5932078,2020-02-11 00:00:00,2024-02-29 00:00:00,11138 | 3410 | 3615 | 3674 | 3734 | 3764 | 3962 | 4042 | 4259 | 4548,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,TER0140,ter0140,17,17,63,1726935,2024-05-16 00:00:00,2025-07-14 00:00:00,11718 | 12125 | 12314 | 12366 | 12478 | 12632 | 12637 | 12638 | 12639 | 12640,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1314229,1314229,14,14,42,276300,2019-05-29 00:00:00,2021-07-28 00:00:00,2378 | 2524 | 2834 | 3053 | 3297 | 3304 | 3348 | 3657 | 3749 | 3763,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612087,612087,13,13,43,251880,2017-02-17 00:00:00,2020-05-06 00:00:00,1466 | 1521 | 1524 | 1756 | 2055 | 2147 | 2192 | 2264 | 2462 | 2566,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,K10763,k10763,13,12,1206,8261865,2024-10-07 00:00:00,2026-03-31 00:00:00,12614 | 13821 | 13880 | 14129 | 14201 | 14887 | 15212 | 15364 | 15385 | 15402,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002227,31002227,12,12,64,6032525,2020-08-26 00:00:00,2022-07-22 00:00:00,4003 | 4259 | 4346 | 4548 | 4867 | 4871 | 4918 | 6087 | 6175 | 6796,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002286,31002286,12,12,101,5511300,2020-01-14 00:00:00,2024-02-29 00:00:00,11138 | 3410 | 3411 | 3540 | 3734 | 3764 | 3810 | 3829 | 3832 | 3906,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,K8417,k8417,12,11,2300.5,7994793,2021-11-25 00:00:00,2026-01-19 00:00:00,10365 | 11098 | 11275 | 14887 | 15352 | 15451 | 15982 | 16134 | 5685 | 6455,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,PIN1400,pin1400,12,12,101,433903,2022-01-24 00:00:00,2025-05-16 00:00:00,10989 | 10990 | 10991 | 10994 | 10996 | 10998 | 11260 | 12642 | 12675 | 12836,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,3100000002253,3100000002253,11,10,109,3846212,2022-04-22 00:00:00,2026-01-06 00:00:00,12585 | 13385 | 13437 | 15094 | 15859 | 6786 | 7343 | 7344 | 7454 | 7523,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002276,31002276,11,11,68,2016396,2020-01-14 00:00:00,2024-02-29 00:00:00,11138 | 3410 | 3411 | 3724 | 3810 | 4042 | 4127 | 4259 | 4548 | 4934,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612097,612097,11,9,26,1243948,2018-03-18 00:00:00,2022-04-01 00:00:00,1466 | 1756 | 3057 | 3111 | 3375 | 3574 | 3973 | 6446 | 6453,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002246,31002246,10,10,246,2644120,2020-12-22 00:00:00,2022-05-19 00:00:00,4548 | 4615 | 4616 | 4673 | 4918 | 5065 | 6787 | 6788 | 6796 | 6798,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ADMIN100003,admin100003,10,10,10,663149,2019-01-13 00:00:00,2021-02-10 00:00:00,1992 | 2220 | 2294 | 2309 | 2423 | 2435 | 2519 | 2548 | 2691 | 4756,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002245,31002245,9,9,81,480191,2020-02-11 00:00:00,2021-06-01 00:00:00,3410 | 3829 | 4042 | 4128 | 4259 | 4548 | 4616 | 4673 | 5073,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002270,31002270,9,9,96,1335462,2020-05-15 00:00:00,2024-02-29 00:00:00,11138 | 3734 | 3829 | 4042 | 4259 | 4548 | 4871 | 6324 | 6797,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002281,31002281,9,9,38,1718463,2020-05-15 00:00:00,2022-05-19 00:00:00,3734 | 3962 | 4042 | 4127 | 4548 | 6087 | 6172 | 6174 | 6796,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612080,612080,9,9,14,1035300,2018-04-17 00:00:00,2021-09-14 00:00:00,1578 | 2156 | 2191 | 2511 | 2719 | 2779 | 3258 | 3259 | 5481,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612091,612091,9,9,28,559440,2019-05-08 00:00:00,2020-04-29 00:00:00,2258 | 2267 | 2433 | 2473 | 2524 | 2658 | 3052 | 3539 | 3725,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002271,31002271,8,8,144,2559524,2020-02-11 00:00:00,2022-05-19 00:00:00,3410 | 3828 | 4127 | 4259 | 4548 | 5073 | 6174 | 6797,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612076,612076,8,8,15,295740,2017-01-18 00:00:00,2022-01-18 00:00:00,105 | 2697 | 36 | 4 | 6087 | 66 | 74 | 75,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612077,612077,8,8,54330,2950901796,2017-02-10 00:00:00,2021-08-18 00:00:00,2144 | 2380 | 2482 | 2653 | 5347 | 5348 | 62 | 74,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612081,612081,8,7,11,1010544,2019-07-05 00:00:00,2022-02-02 00:00:00,2482 | 2495 | 2697 | 3138 | 4094 | 5347 | 6172,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612093,612093,8,8,24,668148,2019-02-25 00:00:00,2022-04-01 00:00:00,2146 | 2300 | 2658 | 2982 | 3111 | 3725 | 3726 | 6453,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,BLT501,blt501,8,8,42.72,233336.64,2024-07-25 00:00:00,2025-07-10 00:00:00,11832 | 12695 | 13003 | 13079 | 13350 | 13452 | 13684 | 14613,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,K3980,k3980,8,8,1401.5,3587520,2018-04-03 00:00:00,2025-12-09 00:00:00,1550 | 15830 | 1662 | 2758 | 2870 | 3836 | 4302 | 4613,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1326279,1326279,7,7,158,137520,2019-02-20 00:00:00,2021-09-15 00:00:00,2025 | 2027 | 2045 | 2146 | 5020 | 5486 | 5502,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002253,31002253,7,7,37,1302028,2020-11-11 00:00:00,2021-04-27 00:00:00,4259 | 4548 | 4615 | 4616 | 4673 | 4871 | 4918,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,POLAR,POLAR,7,7,342.5,1284375,2022-06-13 00:00:00,2025-07-08 00:00:00,11222 | 11928 | 12271 | 12749 | 14637 | 7008 | 8100,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,PR/03229,pr/03229,7,7,44,939202,2022-01-11 00:00:00,2025-09-04 00:00:00,11237 | 12104 | 12919 | 13324 | 14678 | 15014 | 6007,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1314096,1314096,6,6,450,436950,2018-03-27 00:00:00,2021-05-03 00:00:00,1383 | 1843 | 2557 | 4077 | 4771 | 4967,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1314163,1314163,6,5,745,45900,2017-02-07 00:00:00,2019-02-06 00:00:00,1382 | 1839 | 1982 | 60 | 61,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,3100000002249,3100000002249,6,6,30,613542,2022-06-30 00:00:00,2026-04-08 00:00:00,13383 | 14745 | 15367 | 15859 | 16335 | 7345,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,310000002269,310000002269,6,6,225,2309655,2022-01-18 00:00:00,2025-10-15 00:00:00,12823 | 13437 | 15316 | 15317 | 6086 | 6324,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002195,31002195,6,6,335,5246230,2020-06-11 00:00:00,2020-10-09 00:00:00,3810 | 3827 | 3963 | 4003 | 4127 | 4143,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002248,31002248,6,6,85,1300880,2020-02-11 00:00:00,2021-01-26 00:00:00,3410 | 3724 | 4548 | 4615 | 4616 | 4673,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002255,31002255,6,6,19,812181,2020-12-22 00:00:00,2022-07-22 00:00:00,4615 | 4616 | 4673 | 4918 | 5073 | 7098,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,CC,cc,6,5,111,216450,2022-09-12 00:00:00,2022-11-02 00:00:00,7439 | 7457 | 7487 | 7499 | 7874,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,K5016,k5016,6,6,983,2785270,2019-11-20 00:00:00,2026-04-14 00:00:00,14887 | 15352 | 16299 | 3292 | 4809 | 4872,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,K9752,k9752,6,6,953,3492429,2022-07-29 00:00:00,2025-05-27 00:00:00,12705 | 12940 | 13534 | 14201 | 7317 | 7521,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,LONAPOLUL,lonapolul,6,6,807,1481172,2020-11-04 00:00:00,2024-12-30 00:00:00,11222 | 11252 | 11281 | 13035 | 13063 | 4255,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,PN1390,pn1390,6,5,27,99046,2022-09-08 00:00:00,2024-05-29 00:00:00,11216 | 11679 | 7438 | 7610 | 7947,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,10003853,10003853,5,3,936,625176,2024-06-12 00:00:00,2025-01-27 00:00:00,11923 | 13043 | 13416,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,10422200,10422200,5,4,164,884032,2024-06-26 00:00:00,2024-11-13 00:00:00,11828 | 12278 | 12326 | 12680,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1314013,1314013,5,5,172,39240,2017-02-08 00:00:00,2019-02-06 00:00:00,1362 | 1477 | 1982 | 50 | 90,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1326269,1326269,5,5,780,1783451,2018-04-27 00:00:00,2019-06-24 00:00:00,1640 | 1733 | 2162 | 2175 | 2464,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,2011000002139,2011000002139,5,5,27,211289,2022-12-29 00:00:00,2025-09-25 00:00:00,12976 | 13028 | 14145 | 15094 | 8198,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,3100000002278,3100000002278,5,5,20,1015120,2022-06-09 00:00:00,2026-01-16 00:00:00,10970 | 10972 | 15976 | 6991 | 8037,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002272,31002272,5,5,29,668942,2020-09-08 00:00:00,2022-05-19 00:00:00,4042 | 4259 | 4616 | 4867 | 6799,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31003021,31003021,5,5,6,636540,2021-01-07 00:00:00,2022-07-23 00:00:00,4673 | 6797 | 7098 | 7341 | 7345,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612065,612065,5,5,19,1117680,2019-05-28 00:00:00,2022-04-27 00:00:00,2379 | 2436 | 6446 | 6453 | 6567,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612167,612167,5,5,20,3996000,2019-08-19 00:00:00,2019-09-02 00:00:00,2672 | 2673 | 2678 | 2698 | 2718,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ABRAZADERA,abrazadera,5,5,77,85746,2022-09-13 00:00:00,2024-06-06 00:00:00,11748 | 11751 | 7542 | 7673 | 8096,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,ADMIN100007,admin100007,5,5,5,141459,2018-11-29 00:00:00,2019-05-30 00:00:00,2083 | 2084 | 2085 | 2408 | 2409,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,CAJACORRUGADA,cajacorrugada,5,5,232,293050,2021-05-11 00:00:00,2024-02-27 00:00:00,11144 | 11145 | 4970 | 4989 | 6594,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,CREA,CREA,5,5,593,1267582,2020-08-07 00:00:00,2025-11-21 00:00:00,11611 | 15538 | 3953 | 4800 | 7936,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,K3645,K3645,5,5,752,2186616,2019-05-09 00:00:00,2025-12-01 00:00:00,15607 | 2313 | 2397 | 4536 | 5489,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,PLTER0393,plter0393,5,5,7,317058,2022-08-03 00:00:00,2022-11-29 00:00:00,7516 | 7520 | 7872 | 7947 | 7949,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,00013,00013,4,4,240,971520,2025-04-22 00:00:00,2026-01-15 00:00:00,13991 | 14982 | 15540 | 15949,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,10422250,10422250,4,4,450,3604800,2024-12-10 00:00:00,2025-08-28 00:00:00,13170 | 14729 | 14794 | 14954,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1314003,1314003,4,4,837,241616,2017-03-01 00:00:00,2022-05-09 00:00:00,1363 | 4800 | 6771 | 87,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1314084,1314084,4,4,36,126240,2017-03-07 00:00:00,2020-10-14 00:00:00,1395 | 1839 | 4150 | 99,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1314263,1314263,4,4,570,223620,2018-03-22 00:00:00,2020-11-17 00:00:00,1480 | 1843 | 4077 | 4304,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1326268,1326268,4,4,573,1304396,2018-05-17 00:00:00,2019-08-07 00:00:00,1710 | 1838 | 2115 | 2613,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1334266,1334266,4,4,252,226088,2018-02-22 00:00:00,2022-05-09 00:00:00,1363 | 4800 | 6770 | 6771,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,310000002271,310000002271,4,4,85,1769730,2022-09-01 00:00:00,2025-10-21 00:00:00,15277 | 7525 | 7901 | 8197,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002234,31002234,4,4,20,870632,2020-06-19 00:00:00,2022-05-19 00:00:00,3830 | 4127 | 6174 | 6797,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002249,31002249,4,4,23,483952,2020-12-22 00:00:00,2022-07-22 00:00:00,4548 | 4615 | 4673 | 7098,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,31002278,31002278,4,3,17,752870,2020-01-14 00:00:00,2022-02-25 00:00:00,3411 | 4259 | 6324,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612072,612072,4,4,11,204820,2018-03-09 00:00:00,2018-04-25 00:00:00,1425 | 1481 | 1543 | 1612,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612084,612084,4,3,6,977688,2021-08-18 00:00:00,2021-09-14 00:00:00,5347 | 5348 | 5481,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612099,612099,4,4,6,411248,2019-03-29 00:00:00,2021-09-14 00:00:00,2114 | 2984 | 3051 | 5481,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612119,612119,4,4,56,855680,2019-05-17 00:00:00,2019-06-04 00:00:00,2299 | 2300 | 2380 | 2653,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,CAJAS,cajas,4,4,1874,2754900,2021-05-11 00:00:00,2022-11-18 00:00:00,4970 | 4989 | 7808 | 7875,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,FILM,FILM,4,4,108,437094,2021-08-16 00:00:00,2024-09-12 00:00:00,11825 | 12283 | 5328 | 7446,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,GUARDACABO,guardacabo,4,4,65,300430,2022-09-26 00:00:00,2024-07-04 00:00:00,11748 | 11749 | 12038 | 7452,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,K11202,K11202,4,4,644,2351244,2024-11-27 00:00:00,2025-03-11 00:00:00,12887 | 13014 | 13534 | 13642,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,K8376,K8376,4,4,214,1626400,2021-10-05 00:00:00,2021-11-23 00:00:00,5575 | 5580 | 5589 | 5684,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,MEL0170,MEL0170,4,4,2.5,89222.5,2024-02-12 00:00:00,2024-10-17 00:00:00,10990 | 10998 | 12631 | 12633,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,MICATEC03MM,MICATEC03MM,4,4,490,975100,2020-08-11 00:00:00,2021-08-23 00:00:00,3954 | 4002 | 4059 | 5371,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,NAPAKILO,napakilo,4,4,130,280710,2020-07-09 00:00:00,2021-05-07 00:00:00,3993 | 4056 | 4150 | 4982,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,PLTER0130,plter0130,4,4,7,193531,2022-08-19 00:00:00,2024-03-06 00:00:00,11055 | 11066 | 7517 | 7947,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,TER0393,ter0393,4,4,12,626601,2024-01-18 00:00:00,2024-08-12 00:00:00,10996 | 11072 | 11260 | 12296,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,TERO140,TERO140,4,4,11,316965,2025-04-29 00:00:00,2025-05-16 00:00:00,14080 | 14081 | 14093 | 14112,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,VIPUWHITE,vipuwhite,4,4,52,214136,2024-07-23 00:00:00,2025-09-09 00:00:00,11830 | 12667 | 12694 | 15013,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,10412200,10412200,3,3,60,302090,2024-06-26 00:00:00,2024-12-10 00:00:00,11828 | 12278 | 13170,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1314031,1314031,3,3,313,239450,2017-02-08 00:00:00,2021-05-03 00:00:00,1363 | 4967 | 51,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1314081,1314081,3,2,15,44100,2018-03-01 00:00:00,2019-02-25 00:00:00,1404 | 2088,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1314085,1314085,3,3,26,67840,2017-03-07 00:00:00,2018-06-18 00:00:00,1395 | 1839 | 99,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1314162,1314162,3,3,140,89800,2017-02-08 00:00:00,2019-02-06 00:00:00,1380 | 1982 | 60,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1314165,1314165,3,3,30,24012,2017-02-09 00:00:00,2024-02-27 00:00:00,11239 | 1981 | 63,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1314189,1314189,3,3,108,207202,2018-02-22 00:00:00,2021-07-22 00:00:00,1363 | 4192 | 5389,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1314230,1314230,3,3,360,159120,2020-01-24 00:00:00,2021-07-20 00:00:00,3306 | 4017 | 5191,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1314257,1314257,3,3,49,39721,0218-03-22 00:00:00,2024-02-08 00:00:00,11220 | 1362 | 1479,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1324261,1324261,3,3,85,219550,2019-04-24 00:00:00,2021-05-03 00:00:00,2229 | 4769 | 4968,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1326263,1326263,3,3,17,778575,2021-01-13 00:00:00,2025-08-12 00:00:00,14795 | 4573 | 5388,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1326267,1326267,3,3,105,280950,2019-02-06 00:00:00,2021-05-03 00:00:00,1982 | 4769 | 4968,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,1326270,1326270,3,3,449,1014662,2018-04-05 00:00:00,2019-04-04 00:00:00,1539 | 1662 | 2174,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,132674,132674,3,3,330,308700,2022-07-05 00:00:00,2025-11-21 00:00:00,15513 | 7337 | 7338,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,134266,134266,3,2,12,153600,2019-04-24 00:00:00,2022-01-10 00:00:00,2229 | 6080,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,23181000,23181000,3,3,153.2,298740,2024-02-09 00:00:00,2024-02-19 00:00:00,11217 | 11221 | 11236,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,2510,2510,3,3,1440,583460,2025-11-17 00:00:00,2026-02-04 00:00:00,15544 | 15698 | 16005,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,30201,30201,3,3,14,114660,2024-08-30 00:00:00,2026-02-03 00:00:00,12750 | 15874 | 16003,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,3100000002224,3100000002224,3,3,75,2208775,2022-12-29 00:00:00,2025-05-14 00:00:00,13028 | 14132 | 8198,"",""
